Section,Status,Content Complexity,"Section Heading (Must be in UPPERCASE, UNDERLINED BLACK FONT)",Sub-section,Required or Optional? (can the section be omitted if not relevant to the protocol),Section Instructions (HIGHLIGHTED in template),"Required Text (BLACK in template) Sections requiring study-specific content are noted with {{ }}, with more details noted in the Section Instructions column.","Suggested Text Output (BLUE FONT IN TEMPLATE) -should align with suggested text as much as possible, with study-specific modifications to language.",Questions from project team,Minimal Risk Template Mapping,Mapping to UHN Protocol Template Section,Mapping to sponsor protocol template,Build Plan/Key Decisions,Notes
6,Not Started,"[""Moderate mapping complexity""]",WHY IS THIS STUDY BEING DONE?,N/A,Required,"{{explain the purpose of the study}}: A few sentences in lay language about what the study is exploring and looking to answer. Explain what the study will involve (intervention), and what the goal of the intervention is. 

If a placebo is used, explain why the use of a placebo is necessary. 
",The purpose of this study is to {{explain the purpose of the study}}. ,"<Suggestion for pilot study>
The purpose of this study, called a pilot study or a feasibility study, is to test the study plan and to find out whether enough participants will join a larger study and accept the study procedures. This type of study involves a small number of participants and so it is not expected to prove safety or effectiveness of {{insert study intervention}}. The results may be used as a guide for larger studies, although there is no guarantee that they will be conducted. Participation in a pilot study does not mean that you will be eligible to participate in a future larger study.  

<Suggestion for Phase I Studies>
The purpose of this study is to test the safety of {{describe, e.g., natural health product/drug/device, insert name(s) of product/agent/device}}, to see what effects it has on individuals with specify condition.   

<Alternative suggestion for Phase I Studies>
The purpose of this study is to find the highest dose of {{describe, e.g., natural health product/drug/device, insert name(s) of product/agent/device}}, that can be given without causing very severe side effects.  This is done by starting at a dose lower than the one that does not cause side effects in animals.  

Participants are given {{insert name(s) of product/agent/device}} and are watched very closely to see what side effects they have and to make sure the side effects are not severe. If the side effects are not severe, then new participants will be given a higher dose of {{insert name(s) of product/agent/device}}. Participants joining this study later on will get higher doses of {{insert name(s) of product/agent/device}} than participants who join earlier. 

<For alternative suggestion for Phase I Studies: Include next sentences if applicable> 
This will continue until a dose is found that causes severe but temporary side effects. Doses higher than that will not be given. Your study doctor will tell you at which dose level you will start the study drug. 

<Suggestion for Phase II Studies>
The purpose of this study is to find out what effects {{describe, e.g., natural health product/drug/device, insert name(s) of product/agent/device}}, has on individuals with {{specify condition}}. 

<Suggestion for Phase III Studies>
The purpose of this study is to compare the effects of {{describe, e.g., natural health product/drug/device, insert name(s) of product/agent/device}}, to other {{natural health products/drugs/devices}}, which are commonly-used for {{specify condition}}, on individuals with {{specify condition}}. 

<Suggestion for Phase III Placebo Controlled Studies>
The purpose of this study is to find out {{specify purpose, e.g., whether it is better to receive insert name(s) of product/agent/device}}, or better to receive no additional intervention.  To do this, some of the participants in this study will get {{insert name(s) of product/agent/device}} and others will receive a placebo (a substance that looks like the study {{natural health product/drug/device}} but does not have any active or medicinal ingredients). 

<If Phase III Placebo Controlled Study: Explain why using a placebo is necessary>
A placebo is given in this study to reduce the chances of believing that a disease is getting better because one is receiving a new drug. Really, we don't know if the new drug or no drug {{insert, if applicable, with or without the standard drug}} is better than the other so we are doing this study to try and find that out. 

<Suggestion for Phase IV studies> 
The purpose of this study is to look at an approved intervention to obtain additional information about {{specify purpose e.g., benefits, side effects, etc}}. ",,Changed - different suggested text,Study Objectives and Hypothesis -> Primary Objective (and second) OR Research Question,"Research Question OR Objectives and Purpose -> Primary and Secondary Objective OR Protocol Summary/Synopsis
",,
7,Not Started,"[""Potentially in protocol""]",WHAT OTHER CHOICES ARE THERE? ,N/A,Required,"Explain the alternative options applicable to the study population, and their important potential benefits and risks.

List applicable treatments available to participants. Should any of the study drug(s)/intervention(s) be available outside of participation in the study, they should be listed here. 

Do not include: “This study has been approved by the research ethics committee….” since this may appear to offer a guarantee of safety. ",N/A - see suggested text,"<Suggestion for therapeutic intervention studies (modify as applicable if there is no other alternative treatment available)>
You do not have to take part in this study in order to receive treatment or care.  Other options (in addition to the standard or usual treatment described above) may include, but are not limited to:

<List applicable treatments available to participants (examples below may be used as applicable). Should any of the study drug(s)/intervention(s) be available outside of participation in the study, they should be listed here. >
• no therapy at this time
• palliative care or Best Supportive Care (BSC). This type of care helps reduce pain, tiredness, appetite problems and other problems. It does not treat your condition directly, but instead tries to improve how you feel. Best Supportive Care tries to keep you as active and comfortable as possible.
• other research studies may be available if you do not take part in this study

Please talk to your usual doctor or the study doctor about the known benefits and risks of these other options before you decide to take part in this study. Your usual doctor or the study doctor can also discuss with you what will happen if you decide not to undertake any treatment at this time.

<<Suggestion for studies using healthy volunteers>>
You do not have to take part in this study.

",,Not in Minimal Risk template,Potentially not fully articulated in protocol.,Potentially not fully articulated in protocol.,,
8,Not Started,"[""Moderate mapping complexity"",""Potentially in protocol"",""Not in protocol - requires manual entry""]",HOW MANY PEOPLE WILL TAKE PART IN THIS STUDY?,N/A,Required,"

Note: The length of individual participation in the study should be discussed below in the “HOW LONG WILL PARTICIPANTS BE IN THE STUDY?” section. ","It is anticipated that about {{insert total number of study participants}} people will take part in this study. {{If research is multi-site, note the locations of other research sites and the number of participants from UHN}}. 

This study should take {{total study length in months or years}} to complete and the results should be known in about {{time for anticipated analysis in months or years}}.  
",,,Same as minimal risk,"Total number of study participants: Protocol Summary -> Sample Size OR Statistics

The number of participants from UHN potentially would not be found in the protocol, especially if it is a UHN led study. 

The total length of study duration is potentially found in the protocol.

When the results will be known is NOT typically found in the protocol. ","Total number of study participants: Study Design OR Statistical Plan-> Sample Size Justification 

The number of participants from UHN is NOT typically found in the protocol. 

The total length of study duration is NOT typically found in the protocol. 

When the results will be known is NOT typically found in the protocol. ",,"Content in this section is a combination of content in the protocol, potentially in the protocol and not in the protocol. "
9.1.1,Not Started,"[""Complex mapping""]",WHAT WILL HAPPEN DURING THIS STUDY?,ASSIGNMENT TO A GROUP,"Optional, include if relevant","If there is more than one study group, describe how participants are placed into study groups.  Provide a lay description appropriate to the specific protocol. 
",N/A - see suggested text,"<If there is more than one study group: example for randomized studies>

If you decide to participate then you will be ""randomized"" into one of the groups described below. Randomization means that you are put into a group by chance (like flipping a coin). There is no way to predict which group you will be assigned to. You will have {{explain probability of randomization e.g., an equal/one in three chance of being placed in either/any group}}.  Neither you, the study staff, nor the study doctors can choose what group you will be in. 
- Participants in group 1: {{explain what will happen for this group with clear indication of which interventions depart from routine care}} 
- Participants in group 2: {{explain what will happen for this group with clear indication of which interventions depart from routine care}}
 ",,Different suggested text and instructions,Study Design OR Study Intervention,Study Design OR Study Intervention OR Investigational Plan ,,
9.1.2,Not Started,"[""Complex mapping""]",WHAT WILL HAPPEN DURING THIS STUDY?,ASSIGNMENT TO A GROUP,"Optional, include if relevant",Explain whether participants or others will know which group the participant will be in.  ,N/A - see suggested text,"<For open label, randomized studies>
You will be told which group you are in. 

 <For single-blind studies>
You will not know which group you are in, but the study doctor and study staff will. 

When you finish you participation in the study and would like to know what study group you were in, let the study team know. Please note that you may not be able to get this information until the entire study is completed.  


 <For double-blind studies> 
This is a double-blind study, which means that neither you, the study doctors, the study staff, nor your usual health care providers will know which group you are in. Your group assignment can be identified if medically necessary.  

When you finish you participation in the study and would like to know what study group you were in, let the study team know. Please note that you may not be able to get this information until the entire study is completed.  

<Example for trials with intervention assigned based on protocol-specific criteria>
If you decide to participate then you will be assigned into one of the groups described below.  The group you are assigned to will be determined by {{specify assignment criteria e.g. the treatment you have previously received}}.  You will be told which group you are in. 

<If applicable, include the following>

Once a certain number of participants have entered the intervention phase of the study from all of the research sites combined, no more participants will be enrolled into the study at any site.   ",,,Study Design OR Study Intervention,Study Design OR Study Intervention OR Investigational Plan ,,
9.2,Not Started,"[""Complex mapping""]",WHAT WILL HAPPEN DURING THIS STUDY?,STUDY PERIODS,"Optional, include if relevant","If applicable, include a sub-section on Study Periods and list the different periods a participant will move through during their participation (e.g.:  screening, study intervention, end of study visit, early termination visit, follow-up, etc.) in the sequence they will occur.",N/A,No suggested text in template.,,Not in Minimal Risk template,Study Design OR Study Intervention,Study Design OR Study Intervention OR Investigational Plan,,
10,Not Started,"[""Moderate mapping complexity""]",WHAT IS THE STUDY INTERVENTION?,N/A,Required,"Describe intervention by study group, including a clear identification of experimental components of the study. Provide a detailed description appropriate to the specific protocol. Ensure that the Group/Arm names and descriptions are consistent with the protocol for multi-group studies.",N/A - see suggested text,"<<Suggestion for single arm studies>>
Experimental Intervention:
If you agree to take part in this study, you will {{identify intervention, including description of method}}. The procedure will take about {{length of time}}. This will happen every {{frequency}} weeks for {{duration}} months. 

<<Suggestion for multi-group studies. Ensure that the Group/Arm names and descriptions are consistent with the protocol.>>
• Group 1 (Experimental intervention): Standard intervention {{specify drug name/regimen/ intervention}} plus experimental intervention {{specify drug name/regimen/intervention}}.
If you are randomized to this group you will {{identify intervention, including description of method}}. The procedure will take about {{length of time}}. This will happen every {{frequency}} weeks for {{duration}} months.

• Group 2 (Non-Experimental Intervention): Standard intervention {{specify drug name/regimen /intervention}}.
If you are randomized to this group you will {{identify intervention, including description of method}}. The procedure will take about {{length of time}}. This will happen every {{frequency}} weeks for {{duration}} months.
",,Not in Minimal Risk template,Study Design OR Study Intervention,"Study Design
OR
Research Methodology",,
11,Not Started,"[""Moderate mapping complexity""]",WHAT ELSE DO I NEED TO KNOW ABOUT THE STUDY INTERVENTION?,N/A,"Optional, include if relevant","Include information about what may happen if side effects are encountered (changes to intervention, etc). 

If participation in the study restricts future treatment options, inform participants of details. 

If standard treatment is being withheld or withdrawn, inform participants of details.  

For studies with washout period, provide details on washout requirements",N/A - see suggested text,"<Include the relevant information from the selection below.>

If you have side effects while you are on this study, the study doctor may make changes {{specify}}.

<If participation in the study restricts future treatment options, inform participants of details>
If you are in {{identify restriction}}, you may not be able to receive {{identify any future treatment options that participant would be excluded from in the future}}.

<If standard treatment is being withheld or withdrawn>
Normally, you would receive {{identify standard treatment}} for {{specify condition}}.  If you decide to take part in this study, you {{will/may}} not receive this usual treatment.  

<For studies with washout period, provide details on washout requirements>
As part of this study, you will be asked to stop taking {{identify washout agent}} for a period of {{insert washout period in weeks/months}} before you begin the study intervention.
",,Not in Minimal Risk template,Study Design OR Study Intervention; relevant information may also be found elsewhere throughout the protocol. ,Study Design OR Study Intervention; relevant information may also be found elsewhere throughout the protocol. ,,
12,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,N/A,Required,"Describe the procedures that are used in the study that are non-experimental.

The consent should focus on the research related procedures and discuss standard of care where necessary. Each procedure/intervention should be described only once. 

Quantify the amount of body fluids/tissue to be taken at each visit. If quantifying in spoons, indicate in mL as well.  

If just a few visits are required, indicate here the approximate duration of each visit. If applicable, provide details on hospitalizations and indicate if procedures are to be performed outside of UHN.  Should study procedures take place at varying UHN sites, indicate so.

If the participant’s medical records must be accessed for the purposes of the study, outline specific information that will be retrieved from the participant’s medical records.",N/A - see suggested text,"<If just a few visits are required, indicate here the approximate duration of each visit.>
There will be {{number}} study visits during your participation in this study. Visit 1  will be {{duration}} and visit 2 will be {{duration}}. 

<If applicable, provide details on hospitalizations and indicate if procedures are to be performed outside of UHN.  Should study procedures take place at varying UHN sites, indicate so.>
Study visit 1 will take place at {{location}} and Study visit 2 will take place at {{location}}.
",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol.  ,,
12.1,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Non-Experimental Procedures,"Optional, include if relevant","List (in bullet format) any standard procedures (e.g. MRI, blood draws, etc.) and tests that are outside of standard of care. Include a lay explanation, if not obvious, of what each test involves.

Describe the method of blood/urine/other sample collection and associated risks.  Specify number of samples to be collected and timing. If blood is collected, specify the amount and types of tests to be done on the samples. If blood is collected for the purpose of HIV or Hepatitis B/C tests, include a statement notifying that ""positive test results will be reported to local health authorities/Public Health"". Specify the location (city and country only) and purpose for the review. 
",N/A - see suggested text,See attached for suggested list of procedures and descriptions.,,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.2,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Experimental Procedures,"Optional, include if relevant","If there are experimental procedures or medical tests, include this section.  Any standard procedures (e.g., MRI, blood draw, etc.) that are outside of standard of care should be included in the ‘non-experimental procedures’ section – this section is for procedures that are experimental (e.g., being tested as part of the research).

Explain any risks of experimental procedures and medical tests in the RISK section.

List the procedures and tests. Include explanation of what each test involves and the purpose/reason/rationale for including it in the research.",N/A - see suggested text,"The following tests are considered experimental and will only be done for participants on this study:
{{List experimental procedures and tests. Include explanation of what each test involves and the purpose/reason/rationale for including it in the research.}}",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.3,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Focus Group,"Optional, include if relevant",Specify how many focus group meetings and information about timing. Specify the length in minutes or hours and the location of the meeting. Explain the topics of discussion. Specify if any recording devices will be used. ,N/A - see suggested text ,"You will be asked to attend {{specify how many focus group(s) and provide information about timing}}.  A focus group is a small group of representative people who are asked to speak about their opinions as part of the research.  A moderator will organize the focus group(s).  Each focus group discussion will be about {{specify length in minutes or hours in length}} and will take place {{specify location}}.  You will be asked to speak about {{explain topics of discussion}}. The focus group sessions will be audio taped.

While the study team will take precautions to protect your confidentiality, we cannot guarantee that other members of the focus group will respect your privacy or keep the discussions of the group confidential.
",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.4,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Questionnaires,"Optional, include if relevant","Provide information about the timing of the questionnaires. Include a description of the purpose. Indicate the estimated time to complete in minutes. 

If the questions are of a sensitive nature, explain that they might experience emotional distress, explain what should they do and what type of help will be provided if this happens.

If questionnaires include medically relevant information, but won’t be reviewed, note that the responses will not be reviewed by their health care team or study team, and that information should be brought to their attention if they wish for their health care team to know. ",N/A - see suggested text,"You will be provided with a questionnaire {{provide information about the timing of questionnaires}}. The purpose of the questionnaire is {{include description of purpose}}. Each questionnaire will take about {{indicate estimated time to complete in minutes}}. 

The information you provide is for research purposes only.  Some of the questions are personal.  You can choose not to answer questions if you wish.

Even though you may have provided information on a questionnaire, these responses will not be reviewed by your health care team or study team - if you wish them to know this information please bring it to their attention. ",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.5.0,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Participant Diaries,"Optional, include if relevant",Inform the participant of the expectations associated with the participant diary. ,N/A - see suggested text,You will be asked to keep a diary of {specify when}}. Please record {{specify what is to be recorded}}.  You will be asked to return the diary to this centre. ,,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.6,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,"Central {{specify type of review e.g., Radiology/Radiotherapy/Surgical}} Review","Optional, include if relevant","If central review is a mandatory component of the research, include this section. Specify material being submitted and a description of the rationale. 

If the research involves centralized off-site review, provide a description of the material(s) being reviewed centrally, including the type, reason, location (city and country only), retention, and identifiers. 

Specify the patient identifiers on the review materials.",N/A - see suggested text,"Copies of your {{specify materials e.g. CT scans/Surgical specimens}} will be collected as part of this study.  This is required for {{insert rationale}}.  The copies will be sent to {{specify location}}, conducting review, and kept until {{specify retention period when then they will be destroyed.}}

To protect your identity, the information that will be on your scans/specimens will be limited to {{specify which identifiers will be on the review material}}. {{ If additional personal information is also being provided to the central review location, include a description of the information provided.}}",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.7,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Imaging Studies:,"Optional, include if relevant",Specify the standard clinical imaging procedure and explain deviation from normal care/life of the study population. ,N/A - see suggested text,"You will be asked to have {{specify standard clinical imaging procedure}}.  This scan is already used in medical care, but would not normally be done {{explain deviation from normal care/life of the study population}}.  The scans would involve {{briefly describe procedure}}.  
The scans are being done for research purposes only, and will not be used to guide your medical care.
",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
12.8,Not Started,"[""Moderate mapping complexity""]",WHAT ARE THE STUDY PROCEDURES?,Interviews:,"Optional, include if relevant",Specify the number of interviews and information about timing. Specify the length in minutes or hours. Specify the location for the interviews. Specify the topics of discussion. ,N/A - see suggested text,"You will be asked to participate in {{specify number and timing of interviews}}.  During this interview, you will speak with/meet with a member/members of the research team.  Each interview will be about {{specify length in minutes or hours}} in length and will take place {{specify location}}.  You will be asked to provide information about {{explain topics of discussion}}. ",,Not in Minimal Risk template,Study Design OR Study Intervention OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments; relevant information may also be found in other sections of the protocol. ,,
13,Not Started,"[""Moderate mapping complexity""]",SAMPLE COLLECTION ,N/A,"Optional, include if relevant","Describe sample collection, including the sample type and amount, manner/safety of acquisition, purpose of the research (including any known commercial use), measures employed to protect privacy and minimize risk, and length, method, and location (city and country only) of storage. 

Include an explanation of the study-specific research purpose for all samples collected. 

Specify what will happen to samples once the mandatory research has been completed.  

Describe who will be informed of the results.

Specify if results will be placed in the individual’s medical record.",N/A - see suggested text,"The researchers doing this study need to do tests on samples to {insert lay explanation of purpose for sample collection}}. The collection of these samples is a necessary part of this study.  The samples will not be sold. Once these tests have been completed, any leftover samples will be returned to the facility from which they were obtained, if needed, or destroyed. 

<Describe who will be informed of the results of the mandatory research>
Reports about research tests done with your samples will be given to the study doctor(s).  If you would like to learn the results of this research, please let them know. {{specify if results will be in participant&#39;s medical records}}
OR
Reports about any research tests done with your samples will not be given to you, the study doctor(s) or study staff, your doctor, or other health care provider(s). These reports will not be put in your medical records.",,Same as minimal risk,Study Design OR Study Intervention OR Study table OR Table of Assessments OR Ethics->Data Handling and Record Keeping ,"Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments  OR Regulatory, ethical and study oversight considerations ",,
